CustomerID,FirstName,MiddleName,LastName,DOB,Email,Phone,JoinDate,Gender,City,State,LoyaltyStatus
1,Hardik,,Saini,1970-08-20,hardik.saini2665@outlook.com,9367606524,2025-04-19,Male,Chennai,Tamil Nadu,None
2,Maya,,Ahuja,2007-04-09,maya.ahuja9126@yahoo.com,9687203229,2024-01-26,Female,Kochi,Kerala,Silver
3,Siddharth,Arunima,Oak,1966-03-19,siddharth.oak8180@rediffmail.com,9861175745,2024-04-21,Male,KANPUR,Uttar Pradesh,Bronze
4,Om,George,Chaudry,1981-06-27,om.chaudry8349@rediffmail.com,9001674039,2023-10-20,Male,Nashik,Maharashtra,Platinum
5,Rachita,Aishani,Padmanabhan,2010-07-23,rachita.padmanabhan189@gmail.com,9652614498,2023-07-29,Female,Visakhapatnam,Andhra Pradesh,Gold
6,Victor,,Yadav,1964-02-16,victor.yadav8318@gmail.com,9826617575,2024-12-31,Male,New Delhi,Delhi,None
7,Chaaya,,Memon,1998-05-30,chaaya.memon1833@outlook.com,9883089040,2026-01-07,Female,Mumbai,Maharashtra,Bronze
8,Pratyush,Ekaraj,Handa,1958-10-01,pratyush.handa7788@yahoo.com,9284257239,2026-03-15,Male,Nashik,Maharashtra,Bronze
9,Ishaan,Fariq,Mann,1971-06-23,ishaan.mann7398@gmail.com,9200550700,2023-10-26,Male,Vadodara,Gujarat,Silver
10,Ranveer,,Mall,1986-06-27,ranveer.mall3900@outlook.com,9621954781,2026-02-03,Male,Vadodara,Gujarat,Bronze
11,Rajata,,Gaba,1980-10-27,rajata.gaba6736@rediffmail.com,9806607811,2024-11-24,Female,Kolkata,West Bengal,Bronze
12,Henry,Ekbal,  Loke  ,1997-01-31,henry.loke4564@rediffmail.com,9294850989,2026-02-02,Male,New Delhi,Delhi,Silver
13,Frederick,Yash,Walla,1966-10-02,frederick.walla6659@rediffmail.com,9489103972,2025-05-10,Male,New Delhi,Delhi,Gold
14,Ranveer,Theodore,Madan,2002-03-22,ranveer.madan9106@rediffmail.com,9129557055,2024-10-07,Male,BHOPAL,Madhya Pradesh,Silver
15,Baghyawati,Azad,Karnik,2010-06-01,baghyawati.karnik1313@yahoo.com,9008495500,2024-09-24,Female,Vadodara,Gujarat,Bronze
16,Suhani,Dominic,Loyal,1969-12-28,suhani.loyal4273@yahoo.com,9632164990,2025-10-20,Female,Hyderabad,Telangana,Bronze
17,Nakul,Xalak,Kala,1982-07-22,nakul.kala1201@yahoo.com,9513022453,2026-02-14,Male,Thane,Maharashtra,None
18,Vasudha,Alka,Dhar,1965-02-18,vasudha.dhar129@outlook.com,9918287122,2024-06-09,Female,Vadodara,Gujarat,Gold
19,Karan,,Sangha,1995-05-05,karan.sangha4326@rediffmail.com,9376395336,2025-02-01,Male,Visakhapatnam,Andhra Pradesh,Bronze
20,Radhika,,Kanda,1965-01-17,radhika.kanda7008@gmail.com,9196103540,2025-07-22,Female,Kochi,Kerala,Silver
21,Yatin,Champak,Chand,1963-02-04,yatin.chand654@outlook.com,9221784619,2024-01-15,Male,Visakhapatnam,Andhra Pradesh,Silver
22,Fariq,Devansh,Sami,1981-10-25,fariq.sami2901@rediffmail.com,9073988827,2025-01-04,Male,Bhopal,Madhya Pradesh,None
23,Vivaan,,Wadhwa,1972-09-27,vivaan.wadhwa7712@yahoo.com,9193882632,2025-09-28,Male,Visakhapatnam,Andhra Pradesh,Gold
24,Abdul,,Contractor,2002-01-09,abdul.contractor8347@rediffmail.com,9683082590,2025-09-03,Male,Chennai,Tamil Nadu,Silver
25,Lila,Isaac,Oak,1975-08-09,lila.oak5140@rediffmail.com,9653527095,2025-03-28,Female,Bhopal,Madhya Pradesh,Bronze
26,Gaurangi,Aarush,Setty,2004-10-08,gaurangi.setty3229@outlook.com,9499661956,2026-06-13,Female,Chandigarh,Chandigarh,Gold
27,Lekha,,Tella,2007-06-26,lekha.tella2086@yahoo.com,9496963502,2024-02-24,Female,Jaipur,Rajasthan,None
28,Yashica,Chanchal,Cherian,1999-02-11,yashica.cherian5280@rediffmail.com,9465797626,2025-07-19,Female,Kanpur,Uttar Pradesh,None
29,Hardik,Kashvi,Dua,2007-07-10,hardik.dua3849@outlook.com,9210248046,2024-01-28,Male,Indore,Madhya Pradesh,Bronze
30,Aadi,,Naik,1988-11-18,aadi.naik6548@yahoo.com,9168887286,2023-06-22,Male,Surat,Gujarat,Bronze
31,Daksh,Damyanti,Patil,1971-12-05,daksh.patil1989@rediffmail.com,9145537488,2023-08-20,Male,Guwahati,Assam,Bronze
32,Kavya,Frederick,Brar,2005-06-09,KAVYA.BRAR2608@REDIFFMAIL.COM,9478274247,2025-06-15,Female,Ahmedabad,Gujarat,Silver
33,Bakhshi,,Walia,2007-09-30,bakhshi.walia8850@gmail.com,9126704542,2023-12-04,Male,Bhubaneswar,Odisha,Silver
34,Devansh,Noah,Soman,1973-09-02,devansh.soman321@rediffmail.com,9492388577,2025-08-19,Male,Udaipur,Rajasthan,Gold
35,Siddharth,Sai,Kakar,2004-02-24,siddharth.kakar7141@rediffmail.com,9036414160,2024-09-18,Male,Bengaluru,Karnataka,None
36,Sudiksha,Raksha,Prakash,1990-11-08,sudiksha.prakash1376@rediffmail.com,9140323737,2025-04-23,Female,Mumbai,Maharashtra,Bronze
37,Darpan,Umang,Kota,1959-12-28,darpan.kota7706@gmail.com,9709209002,2024-10-29,Male,Nagpur,Maharashtra,Platinum
38,Aishani,Thomas,Karpe,1956-02-14,aishani.karpe2069@rediffmail.com,9652671671,2023-09-10,Female,Noida,Uttar Pradesh,Gold
39,Bhanumati,Ekansh,Karnik,1957-10-08,bhanumati.karnik9482@gmail.com,9959391582,2024-10-17,Female,Thane,Maharashtra,Bronze
40,Balendra,Wazir,Varkey,1974-08-01,balendra.varkey9838@gmail.com,9750560604,2026-03-27,Male,Chandigarh,Chandigarh,Bronze
41,Watika,Kevin,Kala,2004-11-09,watika.kala7533@yahoo.com,9479285447,2025-10-26,Female,Chennai,Tamil Nadu,Silver
42,Warjas,,Kibe,2009-01-09,warjas.kibe1420@outlook.com,9824630812,2025-05-26,Male,Patna,Bihar,Bronze
43,Samar,Girindra,Gupta,1962-03-25,samar.gupta9768@outlook.com,9551245247,2026-03-11,Male,Bhubaneswar,Odisha,Bronze
44,Upasna,Pallavi,,1983-08-11,upasna.cust3631@rediffmail.com,9389500414,2025-05-17,Female,Mysuru,Karnataka,Gold
45,Avni,,Chaudhari,1959-10-04,avni.chaudhari3156@outlook.com,9157124795,2025-02-06,Female,Thane,Maharashtra,Silver
46,Omkaar,,Chopra,1972-07-21,omkaar.chopra4854@yahoo.com,9337100296,2024-03-15,Male,Gurugram,Haryana,Gold
47,Ikshita,Saumya,Yadav,1965-03-04,ikshita.yadav9406@outlook.com,9441094840,2025-03-08,Female,Mumbai,Maharashtra,Silver
48,Hemani,Turvi,Mallick,1972-08-18,hemani.mallick9222@outlook.com,9025456739,2023-09-17,Female,Nashik,Maharashtra,Silver
49,Vaishnavi,,Chaudhari,1959-01-28,vaishnavi.chaudhari5004@gmail.com,9679226110,2026-03-01,Female,Kolkata,West Bengal,Silver
50,Abhimanyu,,Chander,2006-11-29,abhimanyu.chander7700@outlook.com,9022802275,2024-05-24,Male,lucknow,Uttar Pradesh,Bronze
51,Fiyaz,Vedika,Ray,1988-05-22,fiyaz.ray8923@yahoo.com,9698013752,2024-04-19,Male,Thane,Maharashtra,Gold
52,Sai,,Bhargava,1966-11-02,sai.bhargava6595@outlook.com,9540043209,2024-12-31,Male,Kochi,Kerala,Silver
53,Aadhya,Alka,Ramakrishnan,2008-12-27,aadhya.ramakrishnan4416@gmail.com,9715429489,2025-04-28,Female,Mumbai,Maharashtra,Bronze
