EmployeeID,BranchID,FirstName,MiddleName,LastName,GovernmentID,Role,HireDate,EmploymentStatus,ManagerID,Salary,Phone,Email
1,1,Rohan,,Sabharwal,GOV783225043,Branch Manager,2018-06-01,Active,,55727,9527030186,rohan.sabharwal5446@gmail.com
2,1,Chaitaly,Gayathri,Goda,GOV303958366,Assistant Manager,2018-02-11,Active,1.0,39684,9767912210,chaitaly.goda7799@yahoo.com
3,1,Gabriel,,Nori,GOV075567158,Assistant Manager,2023-04-18,Active,1.0,48413,9165568433,gabriel.nori546@outlook.com
4,1,Dayamai,,Mukhopadhyay,GOV625709078,Shift Manager,2019-09-30,On Leave,2.0,25658,9409972431,dayamai.mukhopadhyay5193@yahoo.com
5,1,Warhi,Tanvi,Soni,GOV531610628,Shift Manager,2017-03-10,Active,3.0,35346,9224208736,warhi.soni4903@outlook.com
6,1,Ekapad,Tanveer,Kashyap,GOV725230242,Shift Manager,2021-07-04,Active,2.0,30502,9557798234,ekapad.kashyap8249@outlook.com
7,1,Ijaya,Fiyaz,Varghese,GOV940134073,Shift Manager,2025-12-10,Active,2.0,36464,9357930481,ijaya.varghese1136@rediffmail.com
8,1,Daksh,Owen,Palla,GOV671804691,Cashier,2020-09-27,Active,3.0,19946,9087897094,daksh.palla7087@yahoo.com
9,1,Ganga,Veda,Sant,GOV426254927,Cleaner,2018-09-15,Active,5.0,11181,9854188410,ganga.sant8093@rediffmail.com
10,1,Tanay,,Samra,GOV569846399,Cleaner,2020-10-09,Active,3.0,13283,9918558057,tanay.samra4488@gmail.com
11,1,Rushil,,Jaggi,GOV321675655,Cashier,2018-02-13,Terminated,6.0,17380,9404563126,rushil.jaggi4855@gmail.com
12,1,Qushi,,Butala,GOV839170997,Kitchen Staff,2018-08-16,Active,7.0,19444,9289453627,qushi.butala2120@yahoo.com
13,1,Aadi,Osha,Dhaliwal,GOV192116425,Kitchen Staff,2025-05-06,Active,2.0,18004,9934579356,aadi.dhaliwal6709@rediffmail.com
14,1,Vamakshi,Urmi,Memon,GOV679728972,Kitchen Staff,2018-08-09,Active,2.0,20082,9879695414,vamakshi.memon25@gmail.com
15,1,Vasana,Divya,Narayanan,GOV520929497,Cashier,2017-10-01,Active,2.0,19146,9283826552,vasana.narayanan8317@yahoo.com
16,1,Tristan,Laksh,Ranganathan,GOV278489007,Kitchen Staff,2023-06-25,Active,5.0,17614,9476003959,tristan.ranganathan3165@yahoo.com
17,1,Champak,Balendra,Sarraf,GOV759584406,Kitchen Staff,2022-01-06,Resigned,3.0,21283,9141960966,champak.sarraf1744@rediffmail.com
18,1,Leena,Hemang,Prashad,GOV130981344,Kitchen Staff,2026-06-24,Active,3.0,16601,9741387443,leena.prashad6280@yahoo.com
19,1,Kabir,Zarna,Murthy,GOV766238771,Kitchen Staff,2022-09-25,Resigned,7.0,18706,9165601036,kabir.murthy6353@outlook.com
20,1,Forum,Farhan,Maharaj,GOV667779887,Cleaner,2020-12-15,Resigned,2.0,15184,9605868392,forum.maharaj8529@outlook.com
21,1,Osha,Warjas,Mangal,GOV014222788,Cashier,2025-09-23,Active,3.0,18469,9286895658,osha.mangal5550@rediffmail.com
22,1,Samesh,Gagan,Chaudhary,GOV072583850,Kitchen Staff,2017-06-04,Active,6.0,18483,9561638764,samesh.chaudhary3374@yahoo.com
23,1,Ekaja,Eesha,Raj,GOV824268541,Cashier,2025-03-21,Active,4.0,13462,9828499316,ekaja.raj1548@yahoo.com
24,1,Devika,Lila,Balakrishnan,GOV148710985,Kitchen Staff,2018-11-23,Active,7.0,20343,9757815524,devika.balakrishnan8330@rediffmail.com
25,1,Jeremiah,,Chaudhary,GOV634361174,Cleaner,2024-10-23,Active,2.0,14531,9052109684,jeremiah.chaudhary8193@yahoo.com
26,1,Benjamin,,Ramaswamy,GOV681458647,Kitchen Staff,2016-03-01,Active,3.0,17753,9408073286,benjamin.ramaswamy5159@rediffmail.com
27,1,Yatan,,Rege,GOV341685181,Kitchen Staff,2020-04-01,Active,4.0,17942,9044749286,yatan.rege967@gmail.com
28,1,Omkaar,,Kashyap,GOV494198084,Cleaner,2022-04-13,Terminated,5.0,13990,9436844976,omkaar.kashyap7311@yahoo.com
29,1,Jason,,Nanda,GOV122571199,Kitchen Staff,2018-12-03,Active,4.0,18249,9330525006,jason.nanda9980@gmail.com
30,1,Maanav,Irya,Chakraborty,GOV117284519,Cashier,2023-04-10,Active,6.0,17747,9281171108,maanav.chakraborty647@rediffmail.com
31,1,Mohini,David,Chander,GOV577197410,Cashier,2019-05-23,Active,4.0,19323,9235284249,mohini.chander2338@rediffmail.com
32,1,Ria,Yutika,Khosla,GOV124028973,Cashier,2026-07-20,Active,2.0,19858,9169897091,ria.khosla7256@gmail.com
33,1,Raksha,,Brar,GOV363327774,Kitchen Staff,2020-12-13,Active,5.0,15669,9896236988,raksha.brar4032@gmail.com
34,1,Yasti,Anika,Mann,GOV131462012,Delivery Coordinator,2021-06-19,Terminated,3.0,20378,9775459510,yasti.mann2076@gmail.com
35,1,Darika,Aayush,Issac,GOV530933548,Cashier,2016-07-03,Resigned,4.0,19943,9251350771,darika.issac7078@rediffmail.com
36,1,Ucchal,Shravya,Master,GOV698771156,Kitchen Staff,2021-09-24,Active,4.0,15355,9847396436,ucchal.master8978@outlook.com
37,1,Vrinda,Jairaj,Singh,GOV986357082,Cleaner,2020-12-13,Active,5.0,15231,9824833083,vrinda.singh2135@yahoo.com
38,1,Chaaya,,Salvi,GOV785949099,Cashier,2021-11-22,Active,2.0,18732,9215883457,chaaya.salvi8174@outlook.com
39,1,Harish,Gunbir,Thaker,GOV412501769,Cashier,2019-07-28,Active,7.0,16427,9658797363,harish.thaker1366@yahoo.com
40,1,Neelima,,Konda,GOV191603922,Kitchen Staff,2019-05-31,Resigned,3.0,20832,9252279063,neelima.konda7386@gmail.com
41,1,Parth,,Peri,GOV554604613,Cleaner,2019-10-09,On Leave,5.0,15846,9914775289,parth.peri9630@gmail.com
42,1,Xavier,,Sant,GOV823833815,Kitchen Staff,2019-05-08,Active,4.0,16642,9019041406,xavier.sant8278@outlook.com
43,2,Balveer,Ira,Natarajan,GOV231243080,Branch Manager,2023-10-09,Active,,59818,9631215465,balveer.natarajan4771@outlook.com
44,2,Ubika,Netra,Tiwari,GOV236586054,Assistant Manager,2022-06-17,Active,43.0,49008,9607087586,ubika.tiwari8174@yahoo.com
45,2,Daksh,Rachit,Setty,GOV557994328,Shift Manager,2016-12-28,Active,44.0,35722,9047442715,daksh.setty4484@rediffmail.com
46,2,Gayathri,Lakshmi,Bajaj,GOV824922646,Shift Manager,2023-10-07,Active,44.0,31110,9792219391,gayathri.bajaj1497@gmail.com
47,2,Prisha,,Sandhu,GOV456366949,Shift Manager,2016-10-04,Active,44.0,29449,9314551621,prisha.sandhu5468@outlook.com
48,2,Libni,Yutika,Parikh,GOV300763404,Shift Manager,2016-04-29,Active,44.0,32536,9378710439,libni.parikh4876@rediffmail.com
49,2,Jalsa,,Divan,GOV777179268,Kitchen Staff,2023-04-04,Active,48.0,20533,9139429271,jalsa.divan4363@yahoo.com
50,2,Finn,,Batta,GOV060246284,Delivery Coordinator,2023-02-28,Active,47.0,16462,9652160622,finn.batta1560@rediffmail.com
51,2,Yochana,,Rout,GOV425305470,Cashier,2022-05-03,Active,48.0,14480,9518381567,yochana.rout9751@yahoo.com
52,2,Hiral,,Kadakia,GOV258706561,Kitchen Staff,2018-04-24,Active,48.0,19840,9014316533,hiral.kadakia4222@gmail.com
53,2,Lekha,,Kumar,GOV840311029,Kitchen Staff,2024-06-11,Active,46.0,17269,9472775468,lekha.kumar5708@outlook.com
54,2,Anika,Devansh,Chhabra,GOV440417702,Kitchen Staff,2020-06-01,Active,48.0,21818,9911301940,  anika.chhabra1519@outlook.com  
55,2,Pranit,,Magar,GOV530954311,Kitchen Staff,2016-03-27,On Leave,44.0,17630,9384334253,pranit.magar8326@outlook.com
56,2,Abha,,Hayre,GOV058415616,Cleaner,2025-09-04,Active,46.0,12357,9317742473,abha.hayre9980@outlook.com
57,2,Rajata,Yutika,Venkatesh,GOV275029989,Delivery Coordinator,2020-10-27,Terminated,45.0,14684,9165244987,rajata.venkatesh4712@outlook.com
58,2,Shivansh,Lipika,Nadkarni,GOV978436189,Kitchen Staff,2025-12-02,Active,48.0,19692,9066812059,shivansh.nadkarni5193@yahoo.com
59,2,Chandresh,Ekalinga,Amble,GOV486941943,Kitchen Staff,2016-02-03,Active,45.0,15364,9965763045,chandresh.amble4882@outlook.com
60,2,Nachiket,,Amble,GOV573178450,Cleaner,2024-09-26,Active,45.0,12572,9279878984,nachiket.amble9508@yahoo.com
61,2,Vinaya,Tarak,Cherian,GOV317588682,Cleaner,2022-08-04,Active,47.0,14399,9709797244,vinaya.cherian626@gmail.com
62,2,Jairaj,,Kale,GOV878852553,Kitchen Staff,2025-11-23,Active,45.0,19747,9322414086,jairaj.kale905@outlook.com
63,2,Maanav,Girish,Sood,GOV743757406,Cleaner,2017-05-19,Active,44.0,12757,9020897658,maanav.sood1804@gmail.com
64,2,Yashawini,Hitesh,Kannan,GOV932779394,Delivery Coordinator,2025-07-05,Active,45.0,17257,9101486506,yashawini.kannan83@outlook.com
65,2,Vanya,,Dave,GOV092331661,Cashier,2017-08-21,Active,46.0,15423,9060109769,vanya.dave5846@yahoo.com
66,2,Odika,,Natarajan,GOV174806107,Kitchen Staff,2016-01-17,Active,45.0,18666,9778054448,odika.natarajan6988@yahoo.com
67,2,Gunbir,Udyati,Vohra,GOV545372273,Kitchen Staff,2017-04-04,Active,44.0,21603,9801166206,gunbir.vohra5178@outlook.com
68,2,Janaki,,Shan,GOV567509423,Cashier,2023-02-28,Terminated,44.0,13921,9874448101,janaki.shan6422@yahoo.com
69,2,Abhiram,Azad,Chauhan,GOV149024694,Kitchen Staff,2024-09-12,Resigned,45.0,14182,9493412614,abhiram.chauhan9263@outlook.com
70,2,Zinal,,Sankar,GOV860394428,Delivery Coordinator,2023-06-24,Active,44.0,15119,9690346679,zinal.sankar9867@rediffmail.com
71,2,Ekaja,Nisha,Dass,GOV227283797,Delivery Coordinator,2018-02-22,Active,46.0,14370,9824719697,ekaja.dass7797@yahoo.com
72,2,Karan,,Mohan,GOV355653580,Cashier,2026-02-27,Active,48.0,19319,9379914900,karan.mohan1421@rediffmail.com
73,2,Gabriel,Zarna,Nath,GOV937191560,Delivery Coordinator,2018-03-10,On Leave,46.0,14549,9971147014,gabriel.nath4591@outlook.com
74,2,Umang,,Ganguly,GOV461287882,Delivery Coordinator,2024-09-06,Active,45.0,17681,9165269233,umang.ganguly4912@gmail.com
75,2,Hredhaan,Geetika,Raval,GOV716319157,Kitchen Staff,2023-06-05,Resigned,46.0,16596,9844355259,hredhaan.raval2202@rediffmail.com
76,2,Faris,Sai,Sura,GOV932532248,Kitchen Staff,2024-04-28,Active,47.0,19420,9716756982,faris.sura5496@outlook.com
77,2,Faras,Triveni,Jhaveri,GOV028932858,Cashier,2017-06-02,On Leave,44.0,18573,9094916086,faras.jhaveri2292@gmail.com
78,2,Bimala,,Korpal,GOV142086409,Kitchen Staff,2017-12-20,Active,48.0,16437,9308787787,bimala.korpal9817@outlook.com
79,2,Wriddhish,Vrinda,Nanda,GOV276392213,Cleaner,2018-05-05,Active,47.0,13810,9425081155,wriddhish.nanda7334@outlook.com
80,2,Pooja,Hema,Gopal,GOV830585478,Kitchen Staff,2021-11-11,Active,45.0,19095,9698238309,pooja.gopal203@gmail.com
81,2,Yatin,,Swamy,GOV865868965,Kitchen Staff,2023-03-13,On Leave,48.0,16791,9113666600,yatin.swamy3412@gmail.com
82,3,Kala,,Bhatnagar,GOV718441875,BRANCH MANAGER,2017-07-30,On Leave,,72268,9106740476,kala.bhatnagar6312@rediffmail.com
83,3,Zilmil,,Datta,GOV778594491,Assistant Manager,2021-06-14,Active,82.0,54225,9615111192,zilmil.datta6087@gmail.com
84,3,Rajeshri,,Samra,GOV181880102,Assistant Manager,2021-09-28,Active,82.0,43035,9365609274,rajeshri.samra6236@rediffmail.com
85,3,Imaran,Imaran,Rajagopal,GOV257879941,Shift Manager,2019-08-25,Active,84.0,37688,9096340147,imaran.rajagopal1931@outlook.com
86,3,Tamanna,,Gara,GOV374368675,Shift Manager,2023-12-23,Active,84.0,33067,9259540439,tamanna.gara1000@outlook.com
87,3,Girish,,Narayan,GOV964866519,Cashier,2020-04-13,Resigned,85.0,17559,9270697593,girish.narayan627@gmail.com
88,3,Rishi,,Sachdev,GOV210672898,Cleaner,2018-12-05,Active,83.0,14656,9870447448,rishi.sachdev5791@gmail.com
89,3,Girik,Jairaj,Hayer,GOV314004487,Kitchen Staff,2020-11-20,Active,83.0,15554,9030799329,girik.hayer5617@rediffmail.com
90,3,Vivaan,Raghav,Nath,GOV925521314,Cleaner,2016-05-25,Active,85.0,12266,9094927747,vivaan.nath8188@gmail.com
91,3,Saksham,,Mander,GOV762020902,Kitchen Staff,2022-11-04,Active,84.0,17733,9316747723,saksham.mander4911@gmail.com
92,3,Advik,,Solanki,GOV573551104,Delivery Coordinator,2021-04-17,Resigned,83.0,18846,9557968161,advik.solanki5403@yahoo.com
93,3,Ojasvi,,Tiwari,GOV145852413,Cashier,2023-07-03,Active,86.0,13504,9691439179,ojasvi.tiwari4836@rediffmail.com
94,3,Eshana,Chakrika,Sehgal,GOV785112347,Cleaner,2021-02-16,Active,84.0,11739,9288962867,eshana.sehgal4688@yahoo.com
95,3,Priya,,Murty,GOV890218068,Cleaner,2021-03-07,Active,84.0,11031,9267846697,priya.murty5250@outlook.com
96,3,Zehaan,,Yohannan,GOV301519870,Delivery Coordinator,2018-06-03,Active,86.0,17255,9696161464,zehaan.yohannan6798@yahoo.com
97,3,Ishwar,Teerth,Varma,GOV727884886,Cashier,2024-04-22,Active,85.0,13565,9412941790,ishwar.varma9120@rediffmail.com
98,3,Peter,,Cherian,GOV841357976,Cashier,2018-02-28,Terminated,85.0,18034,9696635420,peter.cherian3306@rediffmail.com
99,3,Forum,,Nanda,GOV744609471,Delivery Coordinator,2024-09-04,Active,85.0,20495,9172498496,forum.nanda9506@yahoo.com
100,3,Vrishti,,Sinha,GOV064836405,Kitchen Staff,2020-10-02,Resigned,85.0,19635,9163348902,vrishti.sinha1080@outlook.com
101,3,Balveer,,Panchal,GOV348930014,Kitchen Staff,2016-12-26,Active,85.0,20840,9499641895,balveer.panchal3553@yahoo.com
102,3,Tejas,,Bhattacharyya,GOV213335758,Kitchen Staff,2021-10-16,Terminated,85.0,17888,9313697657,tejas.bhattacharyya3087@gmail.com
103,3,Dominic,Ladli,Johal,GOV761006153,Cashier,2021-04-12,Active,85.0,19107,9998764171,dominic.johal9333@outlook.com
104,3,Kashvi,,Bhagat,GOV994840552,Kitchen Staff,2025-04-12,Active,86.0,21533,9362703385,kashvi.bhagat8797@yahoo.com
105,3,Ojasvi,,Naidu,GOV281055073,Delivery Coordinator,2023-02-11,Active,85.0,15946,9548916719,ojasvi.naidu2093@yahoo.com
106,3,Pushti,Vritti,Kanda,GOV841908883,Cashier,2025-04-12,On Leave,85.0,18109,9980973704,pushti.kanda5423@yahoo.com
107,3,Amaira,Vyanjana,Memon,GOV380131342,Kitchen Staff,2024-02-26,Active,86.0,16361,9353859663,amaira.memon6122@rediffmail.com
108,3,Farhan,Gabriel,Kari,GOV323442888,Kitchen Staff,2021-03-28,Active,83.0,14145,9277569163,farhan.kari5323@outlook.com
109,3,Noah,,Nori,GOV184798407,Delivery Coordinator,2020-01-21,Terminated,83.0,20972,9941449690,noah.nori2727@gmail.com
110,3,Zilmil,,Kothari,GOV169811865,Kitchen Staff,2020-06-26,Active,83.0,21412,9108144626,zilmil.kothari8264@gmail.com
111,3,Gagan,Jyoti,Bal,GOV918882729,Delivery Coordinator,2023-03-19,Active,84.0,14703,9836826668,gagan.bal231@yahoo.com
112,3,Tara,,Deshmukh,GOV447456776,Kitchen Staff,2026-05-23,Active,85.0,19326,9202999403,tara.deshmukh2502@gmail.com
113,3,Sanaya,Jeevika,Sama,GOV103509003,Cashier,2022-07-04,Active,84.0,19759,9455360646,sanaya.sama83@yahoo.com
114,3,Oviya,Oviya,Dugar,GOV359430157,Cashier,2016-09-21,Active,84.0,18346,9244567087,oviya.dugar7815@gmail.com
115,3,Wishi,,Bawa,GOV601691669,Kitchen Staff,2020-01-08,Active,84.0,17651,9380099175,wishi.bawa4426@outlook.com
116,3,Viraj,,Kala,GOV666901736,Kitchen Staff,2022-05-24,Active,85.0,16428,9263625326,viraj.kala6968@outlook.com
117,4,Ridhi,,Sur,GOV360246984,Branch Manager,2023-09-22,Active,,69897,9690505773,ridhi.sur4578@gmail.com
118,4,Aahana,,Mukhopadhyay,GOV768220762,Assistant Manager,2017-08-13,Active,117.0,49852,9920045962,aahana.mukhopadhyay9981@rediffmail.com
119,4,Bahadurjit,,Krishnamurthy,GOV042181248,Assistant Manager,2019-06-15,Active,117.0,50018,9932340172,bahadurjit.krishnamurthy72@rediffmail.com
120,4,Upasna,Zinal,Dara,GOV088624985,Shift Manager,2017-11-26,Active,118.0,29260,9792234052,upasna.dara3574@outlook.com
121,4,Quincy,,Bhakta,GOV774796921,Shift Manager,2016-03-17,Active,118.0,34998,9021345454,quincy.bhakta9263@rediffmail.com
122,4,Tejas,,Maharaj,GOV881197658,Shift Manager,2016-08-06,Resigned,119.0,37383,9370268160,tejas.maharaj4972@gmail.com
123,4,Yatan,Qadim,Nayak,GOV594281703,Shift Manager,2024-09-11,Terminated,119.0,28158,9597967560,yatan.nayak546@yahoo.com
124,4,Vansha,Rudra,Comar,GOV458224046,Delivery Coordinator,2024-04-05,Resigned,120.0,20928,9340997104,vansha.comar1956@outlook.com
125,4,Krishna,Fariq,Bera,GOV783601619,Cashier,2019-08-05,Active,122.0,18204,9935861082,krishna.bera9024@gmail.com
126,4,Advay,,Sarkar,GOV253867790,Cashier,2022-10-05,Resigned,122.0,19923,9894758302,advay.sarkar6166@yahoo.com
127,4,Megha,Jagvi,Manda,GOV429991231,Kitchen Staff,2023-05-30,Terminated,121.0,21230,9570549332,megha.manda5466@rediffmail.com
128,4,Gopal,,Thaker,GOV894869021,Delivery Coordinator,2020-07-15,Active,123.0,18180,9984106861,gopal.thaker5673@rediffmail.com
129,4,Vaishnavi,,Trivedi,GOV629184868,Kitchen Staff,2024-08-23,Active,118.0,18315,9908137495,vaishnavi.trivedi6061@yahoo.com
130,4,Wishi,,Sibal,GOV560259025,Kitchen Staff,2024-12-12,Active,123.0,20782,9121599674,wishi.sibal2056@rediffmail.com
131,4,Yauvani,,Modi,GOV504471741,Cashier,2021-12-12,Active,120.0,13715,9814540624,yauvani.modi9669@yahoo.com
132,4,Xiti,Ishani,Swamy,GOV088010997,Delivery Coordinator,2026-07-14,Terminated,121.0,18542,9328890763,xiti.swamy9686@gmail.com
133,4,Udyati,Hardik,Sood,GOV453020505,Kitchen Staff,2017-06-14,Active,118.0,17680,9458073283,udyati.sood9209@gmail.com
134,4,Brinda,Chaaya,Chadha,GOV298280306,Delivery Coordinator,2023-10-17,Active,121.0,15331,9866863874,brinda.chadha4908@yahoo.com
135,4,Omaja,Chatura,Bhavsar,GOV145148063,Delivery Coordinator,2026-05-31,Active,120.0,15193,9777054813,omaja.bhavsar3209@outlook.com
136,4,Keya,,Goel,GOV650739263,Kitchen Staff,2019-10-31,Active,122.0,14571,9541482411,keya.goel1490@outlook.com
137,4,Irya,Samarth,Char,GOV199721490,Cleaner,2016-05-08,Active,118.0,14287,9624293040,irya.char8142@rediffmail.com
138,4,Kiaan,,Tak,GOV844504628,Kitchen Staff,2024-10-15,On Leave,121.0,17289,9993696591,kiaan.tak306@gmail.com
139,4,Mitali,Pavani,Ramanathan,GOV289221926,Kitchen Staff,2024-11-06,Active,119.0,21326,9418710516,mitali.ramanathan3276@rediffmail.com
140,4,Charvi,Ansh,Dhingra,GOV055147008,Delivery Coordinator,2016-04-20,Resigned,123.0,16425,9395025797,charvi.dhingra4664@gmail.com
141,4,Veer,Ganga,Grover,GOV647999425,Kitchen Staff,2022-07-21,Active,122.0,21750,9159545515,veer.grover4636@yahoo.com
142,4,Darpan,Edhitha,Kari,GOV449899164,Delivery Coordinator,2016-11-04,Active,120.0,17804,9000727053,darpan.kari1160@rediffmail.com
143,4,Logan,,Lal,GOV444611129,Cashier,2017-08-05,Active,121.0,18724,9858711226,logan.lal2352@yahoo.com
144,4,Gopal,Balveer,Mahajan,GOV772155553,Kitchen Staff,2018-11-12,Resigned,119.0,15578,9756030924,gopal.mahajan4317@outlook.com
145,4,Saanvi,,Ray,GOV444382258,Cashier,2022-05-12,Active,121.0,13238,9203216183,saanvi.ray1995@rediffmail.com
146,4,Girish,,Kapoor,GOV942839624,Kitchen Staff,2019-09-04,Active,119.0,19029,9818578835,girish.kapoor207@rediffmail.com
147,4,Geetika,,Gokhale,GOV848059701,Kitchen Staff,2025-07-29,Active,122.0,14037,9247890056,geetika.gokhale170@outlook.com
148,4,Barkha,Rajeshri,Prakash,GOV376033807,Kitchen Staff,2024-02-08,Terminated,121.0,17654,9934360701,barkha.prakash2045@gmail.com
149,5,Chatresh,Omisha,Kothari,GOV524349030,Branch Manager,2025-09-10,Active,,88386,9732986684,chatresh.kothari5642@yahoo.com
150,5,Ekavir,,Balasubramanian,GOV010150131,Assistant Manager,2025-03-09,Active,149.0,40655,9454067710,chandresh.ghose3450@gmail.com
151,5,Anamika,,Gala,GOV519485280,Shift Manager,2026-01-17,Active,150.0,35938,9806333900,anamika.gala5168@gmail.com
152,5,Vanya,,Bhagat,GOV856094003,Shift Manager,2021-02-13,Active,150.0,32075,9073644493,vanya.bhagat2221@gmail.com
153,5,Edhitha,,Jha,GOV822279428,Kitchen Staff,2024-11-14,Resigned,150.0,14160,9283509564,edhitha.jha4127@outlook.com
154,5,Panini,,Sawhney,GOV270007438,Kitchen Staff,2022-10-11,Terminated,150.0,19290,9240807111,panini.sawhney2357@gmail.com
155,5,Ekaraj,,Dhar,GOV244628522,Kitchen Staff,2025-08-29,Active,152.0,21835,9876625920,ekaraj.dhar2914@yahoo.com
